created_at,retweet_count,sentiment,followers_count,verified
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,505,0.5,2,0
1523055523,292,0.5,60334,0
1523055519,352,0.5,5954,0
1523055512,26,0.5,182,0
1523055500,2259,0.5,10,0
1523055508,114,0.5,143,0
1523055508,129,0.5,1114,0
1523055509,2,0.5,7406,0
1523055504,1051,0.5,11484,0
1523055538,0,0.5,2,0
1523055503,14,0.5,3795,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055484,2,0.5,146,0
1523055483,0,0.5,142,0
1523055497,0,0.5,901,0
1523055497,0,0.5,901,0
1523055489,19,0.5,424,0
1523055497,0,0.5,901,0
1523055500,891,0.5,1147,0
1523055483,0,0.5,141893,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,504,0.5,2,0
1523055538,0,0.5,2,0
1523055486,2,0.5,7543,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,505,0.5,2,0
1523055523,292,0.5,60334,0
1523055522,1259,0.5,587,0
1523055519,353,0.5,5956,0
1523055512,26,0.5,182,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055508,114,0.5,143,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055489,19,0.5,424,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,504,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055490,504,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055488,3479,0.5,237,0
1523055486,2,0.5,7543,0
1523055486,0,0.5,2175,0
1523055484,2,0.5,146,0
1523055483,0,0.5,141893,0
1523055483,0,0.5,142,0
1523055481,0,0.5,2460,0
1523055480,504,0.5,0,0
1523055480,629,0.5,621,0
1523055497,0,0.5,901,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,504,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055490,504,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055488,3479,0.5,237,0
1523055486,2,0.5,7543,0
1523055486,0,0.5,2175,0
1523055484,2,0.5,146,0
1523055483,0,0.5,141893,0
1523055483,0,0.5,142,0
1523055490,44,0.5,944,0
1523055480,504,0.5,0,0
1523055480,629,0.5,621,0
1523055509,2,0.5,7406,0
1523055486,0,0.5,2175,0
1523055481,0,0.5,2460,0
1523055484,2,0.5,146,0
1523055483,0,0.5,141893,0
1523055533,427,0.5,569,0
1523055483,0,0.5,142,0
1523055481,0,0.5,2460,0
1523055500,891,0.5,1147,0
1523055503,14,0.5,3795,0
1523055509,2,0.5,7406,0
1523055486,2,0.5,7543,0
1523055504,1051,0.5,11484,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055523,292,0.5,60334,0
1523055522,1260,0.5,587,0
1523055522,3326,0.5,237,0
1523055519,352,0.5,5954,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055503,14,0.5,3795,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055509,2,0.5,8,0
1523055498,503,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055490,503,0.5,1,0
1523055519,352,0.5,5956,0
1523055491,85,0.5,14,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055519,352,0.5,5956,0
1523055508,114,0.5,143,0
1523055488,3479,0.5,237,0
1523055508,129,0.5,1114,0
1523055509,2,0.5,7406,0
1523055504,1051,0.5,11484,0
1523055488,3479,0.5,237,0
1523055500,2259,0.5,10,0
1523055503,14,0.5,3795,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,503,0.5,2,0
1523055523,292,0.5,60334,0
1523055522,1260,0.5,587,0
1523055522,3326,0.5,237,0
1523055519,352,0.5,5956,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055508,114,0.5,143,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055503,14,0.5,3795,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,505,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055490,503,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055488,3479,0.5,237,0
1523055486,2,0.5,7543,0
1523055486,0,0.5,2175,0
1523055484,2,0.5,146,0
1523055481,0,0.5,2460,0
1523055533,427,0.5,569,0
1523055508,129,0.5,1114,0
1523055531,504,0.5,2,0
1523055504,1051,0.5,11484,0
1523055523,292,0.5,60334,0
1523055503,14,0.5,3795,0
1523055509,2,0.5,7406,0
1523055538,0,0.5,2,0
1523055522,1259,0.5,587,0
1523055522,1259,0.5,587,0
1523055501,3326,0.5,322,0
1523055519,352,0.5,5956,0
1523055522,3326,0.5,237,0
1523055490,44,0.5,944,0
1523055500,891,0.5,1147,0
1523055489,19,0.5,424,0
1523055500,2259,0.5,10,0
1523055500,2259,0.5,10,0
1523055488,3479,0.5,237,0
1523055499,1510,0.5,0,0
1523055519,352,0.5,5956,0
1523055486,2,0.5,7543,0
1523055486,0,0.5,2175,0
1523055522,3326,0.5,237,0
1523055531,503,0.5,2,0
1523055484,2,0.5,146,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055483,0,0.5,141893,0
1523055508,114,0.5,143,0
1523055503,14,0.5,3795,0
1523055501,3326,0.5,322,0
1523055533,427,0.5,569,0
1523055531,504,0.5,2,0
1523055486,2,0.5,7543,0
1523055522,1259,0.5,587,0
1523055484,2,0.5,146,0
1523055522,3326,0.5,237,0
1523055509,2,0.5,7406,0
1523055538,0,0.5,2,0
1523055519,352,0.5,5956,0
1523055501,3326,0.5,322,0
1523055512,25,0.5,182,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055504,1051,0.5,11484,0
1523055523,292,0.5,60334,0
1523055503,14,0.5,3795,0
1523055484,2,0.5,146,0
1523055501,3326,0.5,322,0
1523055538,0,0.5,2,0
1523055486,2,0.5,7543,0
1523055483,0,0.5,141893,0
1523055531,504,0.5,2,0
1523055490,504,0.5,1,0
1523055499,1510,0.5,0,0
1523055523,292,0.5,60334,0
1523055481,0,0.5,2460,0
1523055498,505,0.5,1,0
1523055522,1260,0.5,587,0
1523055497,0,0.5,901,0
1523055522,3326,0.5,237,0
1523055483,0,0.5,142,0
1523055492,2,0.5,142,0
1523055519,353,0.5,5954,0
1523055481,0,0.5,2460,0
1523055491,85,0.5,14,0
1523055512,26,0.5,182,0
1523055538,0,0.5,2,0
1523055490,505,0.5,1,0
1523055508,129,0.5,1114,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055481,0,0.5,2460,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055490,504,0.5,1,0
1523055531,502,0.5,2,0
1523055486,0,0.5,2175,0
1523055538,0,0.5,2,0
1523055491,85,0.5,14,0
1523055533,427,0.5,569,0
1523055509,2,0.5,7406,0
1523055483,0,0.5,142,0
1523055484,2,0.5,146,0
1523055522,3326,0.5,237,0
1523055508,114,0.5,143,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055483,0,0.5,141893,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055538,0,0.5,2,0
1523055483,0,0.5,142,0
1523055519,352,0.5,5954,0
1523055480,629,0.5,621,0
1523055486,0,0.5,2175,0
1523055480,505,0.5,0,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,504,0.5,2,0
1523055523,292,0.5,60334,0
1523055501,3326,0.5,322,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055522,1259,0.5,587,0
1523055538,0,0.5,2,0
1523055522,3326,0.5,237,0
1523055480,629,0.5,621,0
1523055522,1260,0.5,587,0
1523055503,14,0.5,3795,0
1523055491,85,0.5,14,0
1523055522,3326,0.5,237,0
1523055538,0,0.5,2,0
1523055531,503,0.5,2,0
1523055512,25,0.5,182,0
1523055533,427,0.5,569,0
1523055491,85,0.5,14,0
1523055480,503,0.5,0,0
1523055481,0,0.5,2460,0
1523055508,129,0.5,1114,0
1523055522,1260,0.5,587,0
1523055519,352,0.5,5956,0
1523055509,2,0.5,7406,0
1523055483,0,0.5,141893,0
1523055523,292,0.5,60334,0
1523055486,0,0.5,2175,0
1523055480,505,0.5,0,0
1523055509,2,0.5,8,0
1523055522,3326,0.5,237,0
1523055483,0,0.5,142,0
1523055483,0,0.5,142,0
1523055538,0,0.5,2,0
1523055531,501,0.5,2,0
1523055508,114,0.5,143,0
1523055538,0,0.5,2,0
1523055504,1051,0.5,11484,0
1523055484,2,0.5,146,0
1523055533,427,0.5,569,0
1523055531,504,0.5,2,0
1523055519,352,0.5,5954,0
1523055523,292,0.5,60334,0
1523055519,352,0.5,5956,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,504,0.5,2,0
1523055512,25,0.5,182,0
1523055523,292,0.5,60334,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055523,292,0.5,60334,0
1523055522,1260,0.5,587,0
1523055508,114,0.5,143,0
1523055481,0,0.5,2460,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055503,14,0.5,3795,0
1523055522,1259,0.5,587,0
1523055522,3326,0.5,237,0
1523055480,501,0.5,0,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,504,0.5,1,0
1523055522,3326,0.5,237,0
1523055519,352,0.5,5954,0
1523055497,0,0.5,901,0
1523055519,353,0.5,5954,0
1523055512,26,0.5,182,0
1523055490,504,0.5,1,0
1523055533,427,0.5,569,0
1523055509,2,0.5,7406,0
1523055480,629,0.5,621,0
1523055509,2,0.5,8,0
1523055538,0,0.5,2,0
1523055508,114,0.5,143,0
1523055501,3326,0.5,322,0
1523055533,427,0.5,569,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055484,2,0.5,146,0
1523055483,0,0.5,142,0
1523055481,0,0.5,2460,0
1523055480,629,0.5,621,0
1523055508,129,0.5,1114,0
1523055503,14,0.5,3795,0
1523055522,1260,0.5,587,0
1523055533,427,0.5,569,0
1523055512,25,0.5,182,0
1523055533,427,0.5,569,0
1523055490,44,0.5,944,0
1523055509,2,0.5,8,0
1523055522,3326,0.5,237,0
1523055538,0,0.5,2,0
1523055508,129,0.5,1114,0
1523055498,504,0.5,1,0
1523055531,505,0.5,2,0
1523055523,292,0.5,60334,0
1523055497,0,0.5,901,0
1523055522,1260,0.5,587,0
1523055522,1259,0.5,587,0
1523055522,1259,0.5,587,0
1523055522,3326,0.5,237,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055519,352,0.5,5956,0
1523055503,14,0.5,3795,0
1523055504,1051,0.5,11484,0
1523055498,503,0.5,1,0
1523055503,14,0.5,3795,0
1523055497,0,0.5,901,0
1523055538,0,0.5,2,0
1523055499,1510,0.5,0,0
1523055501,3326,0.5,322,0
1523055512,25,0.5,182,0
1523055522,3326,0.5,237,0
1523055500,891,0.5,1147,0
1523055531,505,0.5,2,0
1523055500,2259,0.5,10,0
1523055503,14,0.5,3795,0
1523055523,292,0.5,60334,0
1523055480,629,0.5,621,0
1523055508,114,0.5,143,0
1523055492,2,0.5,142,0
1523055500,891,0.5,1147,0
1523055508,129,0.5,1114,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,505,0.5,1,0
1523055497,0,0.5,901,0
1523055490,505,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055486,2,0.5,7543,0
1523055484,2,0.5,146,0
1523055504,1051,0.5,11484,0
1523055509,2,0.5,8,0
1523055503,14,0.5,3795,0
1523055499,1510,0.5,0,0
1523055492,2,0.5,142,0
1523055512,25,0.5,182,0
1523055501,3326,0.5,322,0
1523055508,129,0.5,1114,0
1523055522,1259,0.5,587,0
1523055500,891,0.5,1147,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055498,505,0.5,1,0
1523055512,25,0.5,182,0
1523055492,2,0.5,142,0
1523055500,2259,0.5,10,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055509,2,0.5,7406,0
1523055490,505,0.5,1,0
1523055538,0,0.5,2,0
1523055519,352,0.5,5956,0
1523055488,3479,0.5,237,0
1523055499,1510,0.5,0,0
1523055531,505,0.5,2,0
1523055491,85,0.5,14,0
1523055486,2,0.5,7543,0
1523055498,504,0.5,1,0
1523055490,503,0.5,1,0
1523055488,3479,0.5,237,0
1523055500,891,0.5,1147,0
1523055504,1051,0.5,11484,0
1523055538,0,0.5,2,0
1523055522,3326,0.5,237,0
1523055533,427,0.5,569,0
1523055490,504,0.5,1,0
1523055531,501,0.5,2,0
1523055509,2,0.5,8,0
1523055522,3326,0.5,237,0
1523055519,352,0.5,5956,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055486,0,0.5,2175,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,505,0.5,1,0
1523055508,114,0.5,143,0
1523055497,0,0.5,901,0
1523055533,427,0.5,569,0
1523055500,2259,0.5,10,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055508,114,0.5,143,0
1523055492,2,0.5,142,0
1523055489,19,0.5,424,0
1523055488,3479,0.5,237,0
1523055490,44,0.5,944,0
1523055533,427,0.5,569,0
1523055486,0,0.5,2175,0
1523055503,14,0.5,3795,0
1523055484,2,0.5,146,0
1523055483,0,0.5,141893,0
1523055531,503,0.5,2,0
1523055483,0,0.5,142,0
1523055480,505,0.5,0,0
1523055523,292,0.5,60334,0
1523055480,629,0.5,621,0
1523055512,25,0.5,182,0
1523055512,25,0.5,182,0
1523055533,427,0.5,569,0
1523055484,2,0.5,146,0
1523055522,1260,0.5,587,0
1523055483,0,0.5,141893,0
1523055499,1510,0.5,0,0
1523055538,0,0.5,2,0
1523055501,3326,0.5,322,0
1523055538,0,0.5,2,0
1523055508,114,0.5,143,0
1523055533,427,0.5,569,0
1523055499,1510,0.5,0,0
1523055522,3326,0.5,237,0
1523055497,0,0.5,901,0
1523055522,1259,0.5,587,0
1523055492,2,0.5,142,0
1523055531,504,0.5,2,0
1523055491,85,0.5,14,0
1523055490,502,0.5,1,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055490,44,0.5,944,0
1523055503,14,0.5,3795,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055522,3326,0.5,237,0
1523055498,504,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055498,504,0.5,1,0
1523055490,504,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055523,292,0.5,60334,0
1523055486,2,0.5,7543,0
1523055484,2,0.5,146,0
1523055486,2,0.5,7543,0
1523055483,0,0.5,142,0
1523055486,0,0.5,2175,0
1523055522,3326,0.5,237,0
1523055483,0,0.5,141893,0
1523055538,0,0.5,2,0
1523055519,353,0.5,5954,0
1523055522,1259,0.5,587,0
1523055522,3326,0.5,237,0
1523055483,0,0.5,142,0
1523055519,353,0.5,5954,0
1523055504,1051,0.5,11484,0
1523055480,629,0.5,621,0
1523055512,26,0.5,182,0
1523055522,3326,0.5,237,0
1523055498,505,0.5,1,0
1523055523,292,0.5,60334,0
1523055491,85,0.5,14,0
1523055503,14,0.5,3795,0
1523055533,427,0.5,569,0
1523055522,1259,0.5,587,0
1523055538,0,0.5,2,0
1523055522,3326,0.5,237,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055531,503,0.5,2,0
1523055523,292,0.5,60334,0
1523055522,1260,0.5,587,0
1523055522,3326,0.5,237,0
1523055519,352,0.5,5956,0
1523055512,25,0.5,182,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055508,114,0.5,143,0
1523055508,129,0.5,1114,0
1523055504,1051,0.5,11484,0
1523055503,14,0.5,3795,0
1523055519,352,0.5,5956,0
1523055501,3326,0.5,322,0
1523055500,891,0.5,1147,0
1523055500,2259,0.5,10,0
1523055499,1510,0.5,0,0
1523055498,504,0.5,1,0
1523055497,0,0.5,901,0
1523055492,2,0.5,142,0
1523055491,85,0.5,14,0
1523055490,505,0.5,1,0
1523055490,44,0.5,944,0
1523055489,19,0.5,424,0
1523055488,3479,0.5,237,0
1523055486,2,0.5,7543,0
1523055486,0,0.5,2175,0
1523055484,2,0.5,146,0
1523055483,0,0.5,141893,0
1523055483,0,0.5,142,0
1523055481,0,0.5,2460,0
1523055480,505,0.5,0,0
1523055480,629,0.5,621,0
1523055504,1051,0.5,11484,0
1523055512,25,0.5,182,0
1523055531,503,0.5,2,0
1523055509,2,0.5,7406,0
1523055509,2,0.5,8,0
1523055533,427,0.5,569,0
1523055503,14,0.5,3795,0
1523055538,0,0.5,2,0
1523055508,114,0.5,143,0
1523055508,129,0.5,1114,0
1523055538,0,0.5,2,0
1523055533,427,0.5,569,0
1523055504,1051,0.5,11484,0
1523055523,292,0.5,60334,0
1523055538,0,0.5,2,0
1523055538,0,0.5,2,0
1523055503,14,0.5,3795,0
1523055533,427,0.5,569,0
1523055501,3326,0.5,322,0
1523055531,504,0.5,2,0
1523055500,891,0.5,1147,0
1523055523,292,0.5,60334,0
